Read Details,Читати подробиці,module,Magento_AdminNotification
Mark as Read,Позначити як прочитане,module,Magento_AdminNotification
Are you sure?,Ви впевнені?,module,Magento_AdminNotification
Remove,Вилучити,module,Magento_AdminNotification
Messages Inbox,Вхідні повідомлення,module,Magento_AdminNotification
You have %1 new system messages,У вас %1 нових системних повідомлень,module,Magento_AdminNotification
You have %1 new system message,У вас %1 новe системнe повідомлення,module,Magento_AdminNotification
Incoming Message,Вхідне повідомлення,module,Magento_AdminNotification
close,закрити,module,Magento_AdminNotification
Notifications,Сповіщення,module,Magento_AdminNotification
The message has been marked as Read.,Повідомлення було позначено як прочитане.,module,Magento_AdminNotification
We couldn't mark the notification as Read because of an error.,Ми не змогли позначити повідомлення як Прочитане через помилку.,module,Magento_AdminNotification
Please select messages.,"Будь ласка, виберіть повідомлення.",module,Magento_AdminNotification
A total of %1 record(s) have been marked as Read.,Всього %1 запис (-ів) позначено як прочитані.,module,Magento_AdminNotification
Total of %1 record(s) have been removed.,Загалом %1 запис(ів) було видалено.,module,Magento_AdminNotification
We couldn't remove the messages because of an error.,Ми не змогли видалити повідомлення через помилку.,module,Magento_AdminNotification
The message has been removed.,Повідомлення було видалено.,module,Magento_AdminNotification
1 Hour,1 година,module,Magento_AdminNotification
2 Hours,2 години,module,Magento_AdminNotification
6 Hours,6 годин,module,Magento_AdminNotification
12 Hours,12 годин,module,Magento_AdminNotification
24 Hours,24 години,module,Magento_AdminNotification
critical,критичне,module,Magento_AdminNotification
major,основне,module,Magento_AdminNotification
minor,незначне,module,Magento_AdminNotification
notice,повідомлення,module,Magento_AdminNotification
Wrong message type,Невірний тип повідомлення,module,Magento_AdminNotification
Wrong notification ID specified.,Зазначено невірний ID сповіщення.,module,Magento_AdminNotification
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} не рекомендується використовувати у виробничому середовищі для декларування Base Unsecure URL / Base Secure URL. Ми наполегливо радимо змінити це значення в Magento <a href=""%1"">конфігурації</a> .",module,Magento_AdminNotification
One or more of the Cache Types are invalidated: %1. ,Один або кілька типів кеша анулюються: %1.,module,Magento_AdminNotification
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Будь ласка, перейдіть до <a href=""%1"">Управління кешем</a> та оновіть кешеві типи.",module,Magento_AdminNotification
We were unable to synchronize one or more media files. Please refer to the log file for details.,"Нам не вдалося синхронізувати один або більше медіа-файлів. Для деталей, будь ласка, зверніться до файлу журналу.",module,Magento_AdminNotification
Synchronization of media storages has been completed.,Завершено синхронізацію медіа сховищ.,module,Magento_AdminNotification
Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.,"Ваш веб-сервер хибно налаштований і дозволяє отримати несанкціонований доступ до конфіденційних файлів. Будь ласка, зверніться до вашого хостинг-провайдеру.",module,Magento_AdminNotification
System Messages:,Системні Повідомлення:,module,Magento_AdminNotification
Critical System Messages,Критичні Системні Повідомлення,module,Magento_AdminNotification
Major System Messages,Значні Системні Повідомлення,module,Magento_AdminNotification
System messages,Системні повідомлення,module,Magento_AdminNotification
Close,Закрити,module,Magento_AdminNotification
See All (,Переглянути всі (,module,Magento_AdminNotification
 unread), непрочитані),module,Magento_AdminNotification
Please correct the data sent.,"Будь-ласка, виправте відправлені дані.",module,Magento_AdvancedPricingImportExport
Entity type model '%1' is not found,Модель типу об'єкта '%1' не знайдено,module,Magento_AdvancedPricingImportExport
Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType,Модель типу об\'єкта повинна бути екземпляром \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType,module,Magento_AdvancedPricingImportExport
There are no product types available for export,Немає типів продуктів доступних для експорту,module,Magento_AdvancedPricingImportExport
We can't find the role for the user you wanted.,Ми не можемо знайти роль для бажаного вами користувача.,module,Magento_Authorization
Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.,Щось пішло не так під час компілювання списку дозволених ресурсів. Ви можете дізнатися більше у журналі винятків.,module,Magento_Authorization
You created the order.,Ви створили замовлення.,module,Magento_Authorizenet
Order saving error: %1,Помилка збереження замовлення: %1,module,Magento_Authorizenet
Please choose a payment method.,"Будь ласка, виберіть спосіб оплати.",module,Magento_Authorizenet
We can't process your order right now. Please try again later.,"Наразі ми не можемо опрацювати ваше замовлення. Будь ласка, спробуйте ще раз пізніше.",module,Magento_Authorizenet
An error occurred on the server. Please try to place the order again.,"Сталася помилка на сервері. Будь ласка, спробуйте розмістити замовлення знову.",module,Magento_Authorizenet
Credit Card: xxxx-%1,Кредитна картка: xxxx-%1,module,Magento_Authorizenet
amount %1,обсяг %1,module,Magento_Authorizenet
failed.,не вдалося.,module,Magento_Authorizenet
successful.,успішно.,module,Magento_Authorizenet
Authorize.Net Transaction ID %1.,Ідентифікатор транзакції Authorize.Net %1.,module,Magento_Authorizenet
authorize,авторизувати,module,Magento_Authorizenet
authorize and capture,авторизувати і блокувати,module,Magento_Authorizenet
capture,блокувати,module,Magento_Authorizenet
refund,повернення,module,Magento_Authorizenet
void,недійсний,module,Magento_Authorizenet
Gateway error: %1,Помилка шлюзу: %1,module,Magento_Authorizenet
Something went wrong in the payment gateway.,Щось пішло не так у платіжному шлюзі.,module,Magento_Authorizenet
Invalid amount for capture.,Неприпустима сума для блокування.,module,Magento_Authorizenet
Payment capturing error.,Помилка блокування платежу.,module,Magento_Authorizenet
Invalid transaction ID.,Недійсний ідентифікатор транзакції.,module,Magento_Authorizenet
Payment voiding error.,Помилка анулювання платежу.,module,Magento_Authorizenet
Invalid amount for refund.,Неприпустима сума для повернення.,module,Magento_Authorizenet
Payment refunding error.,Помилка повернення платежу.,module,Magento_Authorizenet
The transaction was declined because the response hash validation failed.,Транзакцію було відхилено через невдалу валідацію хеша відповіді.,module,Magento_Authorizenet
This payment didn't work out because we can't find this order.,"Цей платіж не спрацював, тому що ми не можемо знайти це замовлення.",module,Magento_Authorizenet
There was a payment authorization error.,Сталася помилка авторизації платежу.,module,Magento_Authorizenet
Please enter a transaction ID to authorize this payment.,"Будь ласка, введіть ідентифікатор транзакції, щоб авторизувати цей платіж.",module,Magento_Authorizenet
Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.,"Щось пішло не так: сплачена сума не відповідає сумі замовлення. Будь ласка, виправте це і повторіть спробу.",module,Magento_Authorizenet
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3 ""","Транзакція %1 була схвалена. Сума - %2. Статус транзакції - ""%3 """,module,Magento_Authorizenet
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3 .","Транзакція %1 була анульована/відхилена. Статус транзакції - ""%2"". Сума - %3 .",module,Magento_Authorizenet
Authorize Only,Тільки авторизувати,module,Magento_Authorizenet
Authorize and Capture,Авторизувати та Захопити,module,Magento_Authorizenet
Unable to get transaction details. Try again later.,Немає змоги отримати деталі транзакції. Повторіть спробу пізніше.,module,Magento_Authorizenet
Credit Card Type,Тип Кредитної Картки,module,Magento_Authorizenet
Credit Card Number,Номер Кредитної Картки,module,Magento_Authorizenet
Expiration Date,Дата Збігає,module,Magento_Authorizenet
Card Verification Number,Номер Підтвердження Картки,module,Magento_Authorizenet
Fraud Detection ,виявлення шахрайства,module,Magento_Authorizenet
FDS Filter Action,Дія FDS-фільтра,module,Magento_Authorizenet
AVS Response,Відповідь AVS,module,Magento_Authorizenet
Card Code Response,Відповідь коду картки,module,Magento_Authorizenet
CAVV Response,Відповідь CAVV,module,Magento_Authorizenet
Fraud Filters,Фільтри шахрайства,module,Magento_Authorizenet
Invalid Form Key. Please refresh the page.,"Недійсний Ключ Форми. Будь-ласка, оновіть сторінку.",module,Magento_Backend
You entered an invalid Secret Key. Please refresh the page.,"Ви ввели недійсний Секретний Ключ. Будь-ласка, оновіть сторінку.",module,Magento_Backend
Cache Storage Management,Управління Сховищем Кешу,module,Magento_Backend
Flush Magento Cache,Скинути Magento Кеш,module,Magento_Backend
The cache storage may contain additional data. Are you sure that you want to flush it?,"Сховище кешу може містити додаткові дані. Ви впевнені, що бажаєте скинути його?",module,Magento_Backend
Flush Cache Storage,Скинути Сховище Кешу,module,Magento_Backend
Invalidated,Визнано недійсним,module,Magento_Backend
Orders,Замовлення,module,Magento_Backend
Amounts,Суми,module,Magento_Backend
Bestsellers,Лідери продажів,module,Magento_Backend
Most Viewed Products,Товари, які найбільше переглядають,module,Magento_Backend
New Customers,Нові Покупці,module,Magento_Backend
Customers,Покупці,module,Magento_Backend
Customer,Покупець,module,Magento_Backend
Guest,Гість,module,Magento_Backend
Items,Елементи,module,Magento_Backend
Total,Загалом,module,Magento_Backend
Lifetime Sales,Довічні Продажі,module,Magento_Backend
Average Order,Середнє Замовлення,module,Magento_Backend
Average,Середній,module,Magento_Backend
Product,Продукт,module,Magento_Backend
Price,Ціна,module,Magento_Backend
Quantity,Кількість,module,Magento_Backend
Views,Перегляди,module,Magento_Backend
Revenue,Прибуток,module,Magento_Backend
Tax,Податок,module,Magento_Backend
Shipping,Доставка,module,Magento_Backend
"Images (.gif, .jpg, .png)","Зображення (.gif, .jpg, .png)",module,Magento_Backend
"Media (.avi, .flv, .swf)","Медіа (.avi, .flv, .swf)",module,Magento_Backend
All Files,Всі файли,module,Magento_Backend
Reset to Default,Відновити Значення за Замовчуванням,module,Magento_Backend
All Store Views,Усі види крамниці,module,Magento_Backend
What is this?,Що це?,module,Magento_Backend
Save Account,Зберегти Обліковий Запис,module,Magento_Backend
My Account,Мій Аккаунт,module,Magento_Backend
Account Information,Дані облікового запису,module,Magento_Backend
User Name,"Ім'я" користувача,module,Magento_Backend
First Name,"Ім'я",module,Magento_Backend
Last Name,Прізвище,module,Magento_Backend
Email,Електронна пошта,module,Magento_Backend
User Email,Email Користувача,module,Magento_Backend
New Password,Новий Пароль,module,Magento_Backend
Password Confirmation,Підтвердження Паролю,module,Magento_Backend
Interface Locale,Локалізація Інтерфейсу,module,Magento_Backend
Current User Identity Verification,Перевірка Особи Поточного Користувача,module,Magento_Backend
Your Password,Ваш Пароль,module,Magento_Backend
Save Cache Settings,Зберегти Налаштування Кешу,module,Magento_Backend
Catalog Rewrites,Перезаписи Каталогу,module,Magento_Backend
Refresh,Оновити,module,Magento_Backend
Images Cache,Кеш Зображень,module,Magento_Backend
Clear,Очистити,module,Magento_Backend
Search Index,Індекс пошуку,module,Magento_Backend
Rebuild,Перебудувати,module,Magento_Backend
Inventory Stock Status,Статус Запасу,module,Magento_Backend
Rebuild Catalog Index,Перебудувати Індекс Каталогу,module,Magento_Backend
Rebuild Flat Catalog Category,Перебудувати Просту Категорію Каталогу,module,Magento_Backend
Rebuild Flat Catalog Product,Перебудувати Простий Продукт Каталогу,module,Magento_Backend
Cache Control,Керування Кешем,module,Magento_Backend
All Cache,Весь кеш,module,Magento_Backend
No change,Без змін,module,Magento_Backend
Disable,Вимкнути,module,Magento_Backend
Enable,Увімкнути,module,Magento_Backend
Add Design Change,Додати Зміну Дизайну,module,Magento_Backend
Back,Назад,module,Magento_Backend
Delete,Видалити,module,Magento_Backend
Are you sure?,Ви впевнені?,module,Magento_Backend
Save,Зберегти,module,Magento_Backend
Edit Design Change,Редагувати Зміну Дизайну,module,Magento_Backend
New Store Design Change,Нова Зміна Дизайну Магазину,module,Magento_Backend
General Settings,Основні Налаштування,module,Magento_Backend
Store,Магазин,module,Magento_Backend
-- Please Select --,"-- Виберіть, будь ласка --",module,Magento_Backend
Custom Design,Користувацький Дизайн,module,Magento_Backend
Date From,Дата Від,module,Magento_Backend
Date To,Дата До,module,Magento_Backend
Design Change,Зміна Дизайну,module,Magento_Backend
General,Загальні,module,Magento_Backend
